Subject,Action,Object,Exception-Condition,Resource-Usage,Time-stamp,flag
User2,Copy,File3,1,1.99,2016:04:02:09:17:01,normal
User2,Execute,GChrome.exe,1,84.08,2016:04:02:09:18:12,normal
User1,Write,File2,1,21.41,2016:04:02:09:26:28,normal
User1,Copy,File2,1,19.17,2016:04:02:09:27:39,normal
User1,Read,File3,1,2.77,2016:04:02:09:30:13,normal
User3,Read,File1,1,49.38,2016:04:02:09:33:37,normal
User5,Delete,File3,1,1.73,2016:04:02:09:34:15,normal
User1,Execute,GChrome.exe,1,115.45,2016:04:02:09:35:28,normal
User2,Execute,ps.exe,1,93.61,2016:04:02:09:37:23,normal
User1,Write,File3,1,1.15,2016:04:02:09:38:23,normal
User4,Delete,File3,1,2.14,2016:04:02:09:40:14,normal
User5,Execute,wmp.exe,1,120.93,2016:04:02:09:44:52,normal
User5,Execute,cmd.exe,1,1.61,2016:04:02:09:45:47,normal
User5,Read,File1,1,31.99,2016:04:02:09:46:21,normal
User5,Cut,File1,1,42.5,2016:04:02:09:48:20,normal
User5,Copy,File3,1,2.96,2016:04:02:09:49:03,normal
User1,Execute,notepad.exe,1,10.23,2016:04:02:09:51:09,normal
User5,Copy,SharedFile4,1,8.98,2016:04:02:09:53:11,normal
User5,Execute,GChrome.exe,1,130.16,2016:04:02:09:56:55,normal
User2,Execute,ps.exe,1,104.03,2016:04:02:09:58:31,normal
User3,Execute,cmd.exe,1,2.11,2016:04:02:10:00:01,normal
User3,Copy,File2,1,39.56,2016:04:02:10:01:27,normal
User1,Execute,notepad.exe,1,10.61,2016:04:02:10:05:03,normal
User2,Delete,File3,1,1.12,2016:04:02:10:07:15,normal
User5,Execute,GChrome.exe,1,99.63,2016:04:02:10:10:23,normal
User3,Delete,File1,1,28.89,2016:04:02:10:11:10,normal
User2,Execute,notepad.exe,1,12.79,2016:04:02:10:12:35,normal
User2,Write,File3,1,2.24,2016:04:02:10:14:00,normal
User3,Execute,notepad.exe,1,9.18,2016:04:02:10:17:44,normal
User5,Execute,cmd.exe,1,1.62,2016:04:02:10:20:48,normal
User3,Execute,cmd.exe,1,1.24,2016:04:02:10:24:34,normal
User3,Execute,cmd.exe,1,2.04,2016:04:02:10:27:12,normal
User3,Execute,notepad.exe,1,10.95,2016:04:02:10:30:25,normal
User1,Execute,notepad.exe,1,9.24,2016:04:02:10:33:49,normal
User5,Execute,notepad.exe,1,11.44,2016:04:02:10:36:27,normal
User5,Read,File2,1,27.92,2016:04:02:10:40:25,normal
User1,Execute,cmd.exe,1,1.44,2016:04:02:10:45:21,normal
User5,Delete,File3,1,3.89,2016:04:02:10:48:07,normal
User3,Execute,cmd.exe,1,1.9,2016:04:02:10:53:07,normal
User2,Cut,File1,1,47.82,2016:04:02:10:56:22,normal
User5,Execute,notepad.exe,1,11.21,2016:04:02:10:58:14,normal
User2,Execute,cmd.exe,1,1.65,2016:04:02:11:01:26,normal
User5,Execute,GChrome.exe,1,103.56,2016:04:02:11:02:57,normal
User2,Execute,notepad.exe,1,10.01,2016:04:02:11:03:05,normal
User3,Execute,notepad.exe,1,9.99,2016:04:02:11:06:24,normal
User5,Execute,ps.exe,1,45.88,2016:04:02:11:07:22,normal
User2,Execute,notepad.exe,1,12.82,2016:04:02:11:10:36,normal
User3,Cut,File1,1,30.69,2016:04:02:11:13:31,normal
User5,Read,SharedFile5,1,12.65,2016:04:02:11:16:14,normal
User1,Execute,notepad.exe,1,10.79,2016:04:02:11:17:57,normal
User5,Write,File1,1,32.9,2016:04:02:11:18:04,normal
User4,Execute,GChrome.exe,1,102.27,2016:04:02:11:19:54,normal
User1,Write,File2,1,17.41,2016:04:02:11:22:22,normal
User1,Execute,notepad.exe,1,10.83,2016:04:02:11:24:53,normal
User5,Read,File1,1,45.03,2016:04:02:11:27:28,normal
User3,Execute,wmp.exe,1,119.11,2016:04:02:11:28:48,normal
User3,Execute,GChrome.exe,1,92.56,2016:04:02:11:31:18,normal
User2,Execute,wmp.exe,1,111.98,2016:04:02:11:32:48,normal
User5,Write,SharedFile4,1,8.15,2016:04:02:11:33:13,normal
User3,Cut,File3,1,2.48,2016:04:02:11:34:26,normal
User4,Execute,GChrome.exe,1,124.71,2016:04:02:11:35:40,normal
User5,Execute,wmp.exe,1,119.79,2016:04:02:11:36:47,normal
User2,Read,File3,1,2.85,2016:04:02:11:37:20,normal
User4,Execute,GChrome.exe,1,102.27,2016:04:02:11:40:55,normal
User5,Execute,notepad.exe,1,12.65,2016:04:02:11:43:40,normal
User1,Execute,wmp.exe,1,116.52,2016:04:02:11:44:22,normal
User4,Cut,File1,1,38.79,2016:04:02:11:48:28,normal
User5,Copy,File1,1,34.33,2016:04:02:11:52:17,normal
User1,Execute,notepad.exe,1,11.49,2016:04:02:11:55:12,normal
User1,Execute,notepad.exe,1,10.39,2016:04:02:11:56:00,normal
User4,Execute,ps.exe,1,58.24,2016:04:02:11:59:27,normal
User3,Read,SharedFile6,1,9.04,2016:04:02:12:02:14,normal
User4,Execute,ps.exe,1,126.31,2016:04:02:12:03:17,normal
User1,Delete,File1,1,41.6,2016:04:02:12:05:21,normal
User5,Execute,notepad.exe,1,11.84,2016:04:02:12:06:31,normal
User3,Execute,notepad.exe,1,10.93,2016:04:02:12:10:00,normal
User5,Read,File2,1,29.66,2016:04:02:12:13:13,normal
User1,Copy,File3,1,2.63,2016:04:02:12:16:02,normal
User4,Execute,ps.exe,1,52.26,2016:04:02:12:19:35,normal
User3,Execute,notepad.exe,1,9.37,2016:04:02:12:20:27,normal
User2,Execute,cmd.exe,1,2.28,2016:04:02:12:21:55,normal
User3,Write,File2,1,40.9,2016:04:02:12:25:56,normal
User1,Execute,GChrome.exe,1,108.75,2016:04:02:12:26:13,normal
User2,Execute,GChrome.exe,1,110.21,2016:04:02:12:29:18,normal
User5,Copy,File1,1,41.44,2016:04:02:12:31:59,normal
User4,Execute,GChrome.exe,1,116.77,2016:04:02:12:34:27,normal
User5,Read,File3,1,1.65,2016:04:02:12:35:55,normal
User4,Read,File2,1,31.67,2016:04:02:12:38:26,normal
User5,Execute,cmd.exe,1,1.41,2016:04:02:12:40:12,normal
User4,Delete,File1,1,48.51,2016:04:02:12:46:09,normal
User2,Delete,File1,1,35.6,2016:04:02:12:48:15,normal
User2,Delete,File1,1,37.87,2016:04:02:12:52:02,normal
User5,Read,SharedFile4,1,9.5,2016:04:02:12:56:44,normal
User2,Read,File3,1,1.05,2016:04:02:12:59:49,normal
User5,Execute,notepad.exe,1,12.13,2016:04:02:13:00:03,normal
User2,Delete,File2,1,25.62,2016:04:02:13:02:21,normal
User3,Execute,notepad.exe,1,10.71,2016:04:02:13:03:27,normal
User5,Copy,SharedFile4,1,6.63,2016:04:02:13:04:56,normal
User1,Execute,GChrome.exe,1,104.37,2016:04:02:13:05:18,normal
User3,Cut,File2,1,20.34,2016:04:02:13:06:20,normal
User3,Write,File3,1,2.41,2016:04:02:13:10:48,normal
User2,Execute,ps.exe,1,103.01,2016:04:02:13:11:04,normal
User2,Execute,cmd.exe,1,1.08,2016:04:02:13:13:34,normal
User2,Read,File1,1,41.38,2016:04:02:13:14:27,normal
User2,Copy,File3,1,2.83,2016:04:02:13:16:07,normal
User5,Execute,wmp.exe,1,111.22,2016:04:02:13:19:51,normal
User3,Write,File3,1,2.04,2016:04:02:13:23:08,normal
User2,Execute,notepad.exe,1,10.03,2016:04:02:13:25:29,normal
User1,Execute,wmp.exe,1,119.84,2016:04:02:13:26:51,normal
User4,Read,File1,1,41.41,2016:04:02:13:27:36,normal
User3,Copy,File3,1,1.57,2016:04:02:13:30:27,normal
User5,Execute,notepad.exe,1,9.39,2016:04:02:13:31:18,normal
User4,Execute,GChrome.exe,1,111.65,2016:04:02:13:33:36,normal
User3,Copy,SharedFile6,1,10.62,2016:04:02:13:34:35,normal
User5,Execute,ps.exe,1,95.64,2016:04:02:13:37:28,normal
User1,Execute,ps.exe,1,58.98,2016:04:02:13:38:41,normal
User5,Execute,notepad.exe,1,12.15,2016:04:02:13:40:40,normal
User4,Execute,notepad.exe,1,11.19,2016:04:02:13:42:14,normal
User2,Execute,wmp.exe,1,120.03,2016:04:02:13:43:47,normal
User1,Execute,ps.exe,1,118.04,2016:04:02:13:45:08,normal
User3,Execute,notepad.exe,1,11.54,2016:04:02:13:46:57,normal
User5,Cut,File3,1,1.66,2016:04:02:13:48:38,normal
User2,Delete,File3,1,1.61,2016:04:02:13:52:32,normal
User3,Write,SharedFile6,1,6.43,2016:04:02:13:55:58,normal
User5,Execute,cmd.exe,1,1.22,2016:04:02:13:58:47,normal
User1,Copy,File3,1,1.93,2016:04:02:14:02:13,normal
User1,Copy,File1,1,37.95,2016:04:02:14:03:34,normal
User2,Execute,ps.exe,1,81.83,2016:04:02:14:04:07,normal
User5,Delete,File3,1,2.66,2016:04:02:14:07:21,normal
User1,Execute,GChrome.exe,1,118.94,2016:04:02:14:09:17,normal
User1,Execute,wmp.exe,1,118.04,2016:04:02:14:12:57,normal
User2,Execute,cmd.exe,1,2.14,2016:04:02:14:16:20,normal
User4,Execute,ps.exe,1,40.86,2016:04:02:14:17:42,normal
User3,Copy,File2,1,38.67,2016:04:02:14:18:41,normal
User2,Cut,File3,1,2.36,2016:04:02:14:21:18,normal
User2,Execute,cmd.exe,1,1.01,2016:04:02:14:23:44,normal
User4,Execute,notepad.exe,1,10.19,2016:04:02:14:24:26,normal
User1,Read,File3,1,2.23,2016:04:02:14:28:59,normal
User2,Execute,ps.exe,1,86.67,2016:04:02:14:37:14,normal
User1,Execute,notepad.exe,1,9.31,2016:04:02:14:38:35,normal
User5,Execute,ps.exe,1,40.93,2016:04:02:14:39:10,normal
User5,Read,SharedFile4,1,6.16,2016:04:02:14:45:42,normal
User4,Execute,cmd.exe,1,2.13,2016:04:02:14:46:05,normal
User1,Execute,wmp.exe,1,118.72,2016:04:02:14:49:08,normal
User3,Execute,GChrome.exe,1,127.41,2016:04:02:14:51:45,normal
User5,Read,File2,1,29.14,2016:04:02:14:52:06,normal
User5,Read,SharedFile4,1,7.72,2016:04:02:14:54:19,normal
User1,Copy,File3,1,2.54,2016:04:02:14:55:18,normal
User2,Execute,ps.exe,1,122.14,2016:04:02:14:56:45,normal
User4,Cut,File1,1,46.84,2016:04:02:14:57:29,normal
User5,Execute,GChrome.exe,1,99.15,2016:04:02:14:59:10,normal
User1,Execute,notepad.exe,1,9.07,2016:04:02:15:02:40,normal
User3,Execute,wmp.exe,1,120.08,2016:04:02:15:03:06,normal
User3,Execute,cmd.exe,1,2.56,2016:04:02:15:04:51,normal
User5,Write,File1,1,34.89,2016:04:02:15:05:04,normal
User5,Execute,GChrome.exe,1,107.19,2016:04:02:15:06:21,normal
User4,Write,File3,1,1.22,2016:04:02:15:09:48,normal
User1,Execute,cmd.exe,1,1.14,2016:04:02:15:10:38,normal
User4,Execute,cmd.exe,1,2.1,2016:04:02:15:11:16,normal
User4,Execute,wmp.exe,1,117.75,2016:04:02:15:12:41,normal
User3,Close,SharedFile6,1,10.44,2016:04:02:15:14:24,normal
User2,Execute,ps.exe,1,115.5,2016:04:02:15:15:57,normal
User3,Cut,File1,1,33.18,2016:04:02:15:16:47,normal
User2,Execute,cmd.exe,1,2.97,2016:04:02:15:19:04,normal
User3,Execute,GChrome.exe,1,123.64,2016:04:02:15:22:09,normal
User1,Open,SharedFile6,1,9.9,2016:04:02:15:24:48,normal
User1,Read,SharedFile6,1,7.26,2016:04:02:15:26:34,normal
User5,Copy,File1,1,43.05,2016:04:02:15:27:47,normal
User4,Execute,wmp.exe,1,110.86,2016:04:02:15:28:16,normal
User2,Execute,cmd.exe,1,2.35,2016:04:02:15:30:35,normal
User2,Write,File2,1,20.37,2016:04:02:15:32:30,normal
User2,Execute,wmp.exe,1,112.71,2016:04:02:15:33:41,normal
User5,Execute,ps.exe,1,63.47,2016:04:02:15:34:33,normal
User1,Execute,wmp.exe,1,118.96,2016:04:02:15:35:46,normal
User2,Execute,ps.exe,1,72.59,2016:04:02:15:37:21,normal
User2,Write,File1,1,43.52,2016:04:02:15:38:37,normal
User3,Cut,File1,1,40.94,2016:04:02:15:39:32,normal
User3,Read,File1,1,31.66,2016:04:02:15:40:41,normal
User3,Execute,GChrome.exe,1,120.1,2016:04:02:15:41:46,normal
User2,Execute,cmd.exe,1,1.65,2016:04:02:15:42:25,normal
User1,Execute,ps.exe,1,57.76,2016:04:02:15:45:58,normal
User5,Read,SharedFile5,1,11.25,2016:04:02:15:47:49,normal
User1,Execute,ps.exe,1,82.1,2016:04:02:15:49:07,normal
User1,Read,SharedFile6,1,6.47,2016:04:02:15:50:06,normal
User1,Cut,File2,1,30.54,2016:04:02:15:51:16,normal
User1,Copy,SharedFile6,1,9.97,2016:04:02:15:54:18,normal
User1,Execute,ps.exe,1,61.2,2016:04:02:15:55:21,normal
User3,Write,File2,1,26.64,2016:04:02:15:57:54,normal
User3,Execute,GChrome.exe,1,90.62,2016:04:02:16:00:22,normal
User3,Execute,notepad.exe,1,10.01,2016:04:02:16:01:05,normal
User3,Read,File3,1,2.1,2016:04:02:16:03:03,normal
User1,Execute,GChrome.exe,1,81.06,2016:04:02:16:06:10,normal
User3,Execute,ps.exe,1,126.07,2016:04:02:16:07:22,normal
User2,Execute,GChrome.exe,1,118.25,2016:04:02:16:10:10,normal
User5,Copy,File3,1,3.61,2016:04:02:16:11:57,normal
User5,Read,File3,1,2.11,2016:04:02:16:14:34,normal
User1,Execute,cmd.exe,1,2.99,2016:04:02:16:17:28,normal
User5,Copy,File2,1,35.81,2016:04:02:16:21:49,normal
User3,Execute,GChrome.exe,1,96.05,2016:04:02:16:25:51,normal
User1,Cut,File2,1,28.86,2016:04:02:16:26:28,normal
User2,Execute,cmd.exe,1,1.15,2016:04:02:16:28:51,normal
User4,Execute,cmd.exe,1,1.13,2016:04:02:16:29:18,normal
User4,Read,File2,1,23.78,2016:04:02:16:32:07,normal
User5,Write,SharedFile5,1,14.69,2016:04:02:16:34:29,normal
User3,Read,File3,1,3.54,2016:04:02:16:35:11,normal
User3,Execute,cmd.exe,1,1.59,2016:04:02:16:38:48,normal
User3,Execute,GChrome.exe,1,88.88,2016:04:02:16:41:35,normal
User1,Write,File3,1,2.99,2016:04:02:16:42:40,normal
User5,Delete,File1,1,35.19,2016:04:02:16:43:37,normal
User1,Write,File3,1,3.79,2016:04:02:16:44:47,normal
User5,Write,File1,1,48.79,2016:04:02:16:46:58,normal
User2,Delete,File1,1,49.95,2016:04:02:16:47:12,normal
User5,Cut,File1,1,30.45,2016:04:02:16:50:44,normal
User1,Execute,cmd.exe,1,1.94,2016:04:02:16:52:29,normal
User5,Execute,wmp.exe,1,111.13,2016:04:02:16:53:33,normal
User5,Execute,GChrome.exe,1,82.15,2016:04:02:16:55:05,normal
User3,Execute,notepad.exe,1,10.75,2016:04:02:16:57:03,normal
User3,Copy,File1,1,39.26,2016:04:02:17:00:55,normal
User1,Execute,cmd.exe,1,2.4,2016:04:02:17:03:30,normal
User2,Write,File3,1,3.44,2016:04:02:17:04:29,normal
User2,Execute,cmd.exe,1,1.8,2016:04:02:17:05:14,normal
User3,Execute,ps.exe,1,97.24,2016:04:02:17:07:55,normal
User5,Execute,wmp.exe,1,113.33,2016:04:02:17:08:40,normal
User4,Read,File2,1,30.25,2016:04:02:17:10:48,normal
User1,Read,File3,1,1.67,2016:04:02:17:13:47,normal
User3,Execute,wmp.exe,1,111.6,2016:04:02:17:16:43,normal
User3,Write,File2,1,27.61,2016:04:02:17:17:36,normal
User5,Execute,GChrome.exe,1,102.16,2016:04:02:17:18:02,normal
User1,Execute,notepad.exe,1,11.98,2016:04:02:17:21:49,normal
User5,Read,SharedFile5,1,12.41,2016:04:02:17:22:16,normal
User5,Copy,File1,1,49.29,2016:04:02:17:25:41,normal
User3,Execute,notepad.exe,1,11.6,2016:04:02:17:28:49,normal
User1,Read,File2,1,37.19,2016:04:02:17:31:49,normal
User3,Write,File2,1,16.03,2016:04:02:17:32:46,normal
User4,Execute,GChrome.exe,1,121.75,2016:04:02:17:33:37,normal
User5,Write,File3,1,2.09,2016:04:02:17:40:37,normal
User5,Cut,File3,1,1.26,2016:04:02:17:43:52,normal
User4,Read,File2,1,28.42,2016:04:02:17:44:47,normal
User1,Execute,wmp.exe,1,114.38,2016:04:02:17:45:51,normal
User1,Execute,wmp.exe,1,117.49,2016:04:02:17:49:12,normal
User3,Execute,notepad.exe,1,11.72,2016:04:02:17:50:35,normal
User4,Execute,wmp.exe,1,111.13,2016:04:02:17:54:01,normal
User5,Execute,cmd.exe,1,1.97,2016:04:02:17:56:43,normal
User4,Execute,cmd.exe,1,1.37,2016:04:02:17:57:22,normal
User1,Copy,File3,1,3.41,2016:04:02:17:58:22,normal
User5,Read,File3,1,2.82,2016:04:02:18:02:52,normal
User5,Execute,cmd.exe,1,1.93,2016:04:02:18:06:21,normal
User2,Execute,GChrome.exe,1,123.93,2016:04:02:18:07:47,normal
User5,Execute,cmd.exe,1,2,2016:04:02:18:09:17,normal
User4,Read,File3,1,1.56,2016:04:02:18:12:00,normal
User3,Delete,File2,1,37.67,2016:04:02:18:15:20,normal
User2,Copy,File2,1,27.36,2016:04:02:18:16:52,normal
User2,Write,File2,1,15.09,2016:04:02:18:18:57,normal
User5,Execute,wmp.exe,1,113.88,2016:04:02:18:27:55,normal
User5,Cut,File3,1,1.28,2016:04:02:18:30:48,normal
User1,Copy,File2,1,30.89,2016:04:02:18:31:13,normal
User5,Copy,File2,1,38.62,2016:04:02:18:32:13,normal
User3,Execute,cmd.exe,1,1.1,2016:04:02:18:34:19,normal
User5,Copy,File2,1,33.34,2016:04:02:18:35:39,normal
User2,Cut,File1,1,36.56,2016:04:02:18:38:06,normal
User2,Cut,File1,1,39.38,2016:04:02:18:41:35,normal
User2,Execute,wmp.exe,1,114.15,2016:04:02:18:44:05,normal
User4,Execute,ps.exe,1,107.14,2016:04:02:18:46:27,normal
User1,Execute,notepad.exe,1,9.99,2016:04:02:18:49:18,normal
User5,Execute,notepad.exe,1,10.24,2016:04:02:18:52:17,normal
User4,Cut,File2,1,15.74,2016:04:02:18:53:54,normal
User5,Cut,File3,1,1.74,2016:04:02:18:54:11,normal
User4,Execute,notepad.exe,1,9.17,2016:04:02:19:01:45,normal
User3,Execute,wmp.exe,1,120.62,2016:04:02:19:02:50,normal
User5,Read,File1,1,35.46,2016:04:02:19:05:48,normal
User5,Delete,File1,1,42.35,2016:04:02:19:07:13,normal
User4,Copy,File1,1,29.87,2016:04:02:19:08:20,normal
User5,Execute,ps.exe,1,110.09,2016:04:02:19:12:22,normal
User5,Execute,ps.exe,1,40.19,2016:04:02:19:14:11,normal
User1,Copy,File1,1,35.43,2016:04:02:19:17:36,normal
User1,Execute,GChrome.exe,1,121.79,2016:04:02:19:18:29,normal
User3,Write,File1,1,39.42,2016:04:02:19:19:58,normal
User4,Execute,ps.exe,1,37.8,2016:04:02:19:20:23,normal
User2,Write,File2,1,23.08,2016:04:02:19:22:37,normal
User5,Execute,wmp.exe,1,119.49,2016:04:02:19:27:28,normal
User5,Execute,ps.exe,1,45.41,2016:04:02:19:30:54,normal
User1,Execute,wmp.exe,1,110.23,2016:04:02:19:35:05,normal
User3,Execute,wmp.exe,1,112.15,2016:04:02:19:37:36,normal
User5,Read,File3,1,3.5,2016:04:02:19:38:55,normal
User1,Read,File2,1,38.64,2016:04:02:19:40:44,normal
User2,Write,File1,1,28.51,2016:04:02:19:41:36,normal
User5,Delete,File3,1,1.16,2016:04:02:19:43:58,normal
User3,Execute,GChrome.exe,1,110.05,2016:04:02:19:49:43,normal
User3,Execute,ps.exe,1,116.04,2016:04:02:19:52:31,normal
User4,Cut,File3,1,1.49,2016:04:02:19:53:41,normal
User3,Execute,wmp.exe,1,120.42,2016:04:02:19:55:29,normal
User5,Execute,notepad.exe,1,10.35,2016:04:02:19:56:19,normal
User5,Execute,wmp.exe,1,112.54,2016:04:02:19:57:31,normal
User5,Execute,GChrome.exe,1,98.67,2016:04:02:19:58:06,normal
User2,Execute,notepad.exe,1,11.06,2016:04:02:20:00:28,normal
User1,Close,SharedFile6,1,4.41,2016:04:02:20:01:37,normal
User5,Delete,File2,1,30.23,2016:04:02:20:04:28,normal
User4,Execute,notepad.exe,1,9.69,2016:04:02:20:06:51,normal
User4,Execute,ps.exe,1,37.47,2016:04:02:20:07:07,normal
User1,Execute,notepad.exe,1,11.99,2016:04:02:20:09:08,normal
User5,Execute,cmd.exe,1,2.5,2016:04:02:20:11:46,normal
User3,Execute,ps.exe,1,55.74,2016:04:02:20:14:37,normal
User1,Execute,GChrome.exe,1,121.66,2016:04:02:20:15:24,normal
User4,Execute,wmp.exe,1,117.13,2016:04:02:20:18:45,normal
User1,Execute,GChrome.exe,1,83.42,2016:04:02:20:21:15,normal
User2,Open,SharedFile6,1,12.5,2016:04:02:20:22:57,normal
User5,Write,SharedFile5,1,15.31,2016:04:02:20:25:42,normal
User5,Copy,File3,1,2.92,2016:04:02:20:27:33,normal
User3,Execute,ps.exe,1,30,2016:04:02:20:30:21,normal
User2,Execute,notepad.exe,1,12.77,2016:04:02:20:31:10,normal
User4,Execute,wmp.exe,1,117.86,2016:04:02:20:33:38,normal
User2,Delete,File1,1,41.48,2016:04:02:20:36:42,normal
User4,Copy,File2,1,21.62,2016:04:02:20:38:30,normal
User3,Read,File2,1,15.52,2016:04:02:20:43:52,normal
User3,Copy,File3,1,3.64,2016:04:02:20:46:12,normal
User5,Execute,ps.exe,1,103.74,2016:04:02:20:49:36,normal
User2,Read,File1,1,48.66,2016:04:02:20:52:52,normal
User5,Copy,File1,1,36.75,2016:04:02:20:54:27,normal
User2,Delete,File2,1,22.72,2016:04:02:20:55:52,normal
User5,Copy,SharedFile5,1,13.1,2016:04:02:20:58:00,normal
User5,Execute,wmp.exe,1,117.51,2016:04:02:20:59:10,normal
User4,Copy,File2,1,18.93,2016:04:02:21:01:29,normal
User4,Execute,GChrome.exe,1,94.77,2016:04:02:21:03:10,normal
User5,Write,SharedFile4,1,6.18,2016:04:02:21:04:10,normal
User1,Execute,GChrome.exe,1,122.71,2016:04:02:21:05:13,normal
User5,Delete,File1,1,37.87,2016:04:02:21:06:03,normal
User2,Read,File3,1,2.65,2016:04:02:21:09:15,normal
User4,Read,File3,1,1.18,2016:04:02:21:12:27,normal
User2,Execute,notepad.exe,1,11.48,2016:04:02:21:17:38,normal
User5,Read,SharedFile4,1,7.92,2016:04:02:21:20:04,normal
User3,Cut,File2,1,30.85,2016:04:02:21:23:39,normal
User3,Copy,File2,1,36.91,2016:04:02:21:26:14,normal
User4,Execute,wmp.exe,1,120.04,2016:04:02:21:29:08,normal
User3,Write,File3,1,1.89,2016:04:02:21:31:56,normal
User3,Execute,ps.exe,1,71.69,2016:04:02:21:32:19,normal
User2,Execute,notepad.exe,1,12.25,2016:04:02:21:33:22,normal
User5,Write,File1,1,30.24,2016:04:02:21:35:16,normal
User5,Write,File1,1,43.98,2016:04:02:21:36:21,normal
User5,Execute,notepad.exe,1,10.1,2016:04:02:21:38:32,normal
User4,Copy,File3,1,3.43,2016:04:02:21:42:32,normal
User3,Execute,cmd.exe,1,1.74,2016:04:02:21:44:00,normal
User2,Write,File2,1,26.7,2016:04:02:21:47:43,normal
User1,Write,File2,1,33.22,2016:04:02:21:48:20,normal
User5,Cut,File1,1,33.99,2016:04:02:21:52:08,normal
User4,Execute,notepad.exe,1,9.67,2016:04:02:21:53:33,normal
User4,Execute,wmp.exe,1,117.52,2016:04:02:21:55:26,normal
User5,Execute,wmp.exe,1,115.7,2016:04:02:22:01:06,normal
User1,Cut,File2,1,33.44,2016:04:02:22:02:15,normal
User2,Execute,GChrome.exe,1,96.83,2016:04:02:22:03:23,normal
User4,Cut,File1,1,40.93,2016:04:02:22:04:03,normal
User5,Execute,notepad.exe,1,9.31,2016:04:02:22:05:04,normal
User5,Execute,GChrome.exe,1,93.65,2016:04:02:22:09:02,normal
User3,Execute,ps.exe,1,113.02,2016:04:02:22:11:04,normal
User3,Execute,wmp.exe,1,110.51,2016:04:02:22:15:50,normal
User5,Write,File1,1,39.73,2016:04:02:22:16:41,normal
User2,Delete,File1,1,29.6,2016:04:02:22:17:08,normal
User5,Execute,wmp.exe,1,118.49,2016:04:02:22:18:14,normal
User4,Execute,GChrome.exe,1,100.15,2016:04:02:22:22:05,normal
User5,Execute,ps.exe,1,31.78,2016:04:02:22:27:47,normal
User5,Execute,notepad.exe,1,11.08,2016:04:02:22:28:02,normal
User4,Execute,cmd.exe,1,1.77,2016:04:02:22:31:38,normal
User5,Execute,wmp.exe,1,118.14,2016:04:02:22:33:52,normal
User4,Cut,File3,1,2.16,2016:04:02:22:35:25,normal
User1,Copy,File1,1,43.52,2016:04:02:22:37:26,normal
User2,Execute,GChrome.exe,1,94.13,2016:04:02:22:40:10,normal
User5,Write,SharedFile4,1,10.96,2016:04:02:22:42:20,normal
User2,Execute,GChrome.exe,1,95.6,2016:04:02:22:43:40,normal
User1,Execute,ps.exe,1,109.31,2016:04:02:22:45:19,normal
